trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.1800000000000001, 'e': 0.14227407158651353}",20,16,8.079493515414475,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.1800000000000001, 'e': 0.1353352832366127}",25,14,15.261161794638623,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.1800000000000001, 'e': 0.12873490358780418}",20,10,19.164805830761004,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.1800000000000001, 'e': 0.1224564282529819}",35,0,8.230397444893498,"{0: 31, 1: 1, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.1800000000000001, 'e': 0.11648415777349697}",30,12,5.26751799998952,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.1800000000000001, 'e': 0.11080315836233387}",20,0,6.282567168648873,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.1800000000000001, 'e': 0.10539922456186433}",25,0,-11.09830744368725,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
47,False,"{'a': 0.1800000000000001, 'e': 0.1002588437228037}",25,0,-2.753701901156467,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
48,False,"{'a': 0.1800000000000001, 'e': 0.09536916221554961}",20,9,16.175122312741422,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.1800000000000001, 'e': 0.09071795328941247}",25,8,27.336987352821073,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.1800000000000001, 'e': 0.0862935864993705}",30,2,-13.458044898619125,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 1}",1
51,False,"{'a': 0.1800000000000001, 'e': 0.0820849986238988}",25,12,5.327591982807321,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.1800000000000001, 'e': 0.07808166600115313}",30,18,20.925969769574003,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.1800000000000001, 'e': 0.07427357821433388}",30,13,22.785349063923036,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.1800000000000001, 'e': 0.07065121306042957}",25,0,-0.17455497787127383,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
55,False,"{'a': 0.1800000000000001, 'e': 0.06720551273974976}",25,0,36.75774711493219,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
